"capability_id","repository","snapshot","license_or_provenance","six_layer","input_files","canonical_source","safe_public_copy","output_location","auto_write_site","human_review","network_api_dependency","file_write_logic","overlap","recommended_status","connection_timing","recommended_use","risk_notes"
"yao.geo_page_audit","yao-geo-skills","dc10716","MIT","3;5","公开路由 HTML、robots、sitemap、manifest、安全知识库 JSON","网站公开页面和治理文档","yes","docs/06b/page-audit/","no","yes","yes if live URL audit; local/static mode preferred","报告脚本写 md/html/docx/pdf/quality-report","yao-geo-page-blueprint; original.geo_content_optimizer","adapt","06B 第一接入模块候选","审计公开页面可抓取、结构、正文、Schema 候选和修复清单，只输出 docs","不得自动生成或写入 Schema；不得把平台 recall 当结论"
"yao.geo_page_blueprint","yao-geo-skills","dc10716","MIT","2;4;5","目标问题、安全事实卡、页面类型、转化目标","问题库 CSV、公开知识库 JSON、90 天策略公开摘要","yes","docs/06b/page-blueprints/","no","yes","no by default","render_yao_geo_page_blueprint.py 写四格式报告","yao-geo-page-audit; yao-geo-content-refiner","adapt","Page Audit 后","为后续页面改版生成信息架构、HTML 结构样例、CMS 字段和 Schema 候选","只能输出蓝图，不自动改 app/ 或 public/"
"yao.geo_content_refiner","yao-geo-skills","dc10716","MIT","4;5","公开页面正文、审核后的原文、公开事实卡","Markdown canonical 或公开页面；internal-review 需先人工降级为公开摘录","partial","docs/06b/content-refiner/","no","yes","optional web; disable unless approved","报告脚本写四格式报告","yao-geo-article-friendly; yao-geo-explainer-builder; yao-geo-page-blueprint","defer","内容公开审核后","用于已公开页面的结构化改造建议和事实卡补强","当前完整文章样稿仍 blocked，不适合直接改写"
"yao.geo_effect_monitor","yao-geo-skills","dc10716","MIT","3;6","Prompt 库、平台、基线摘要、采样环境、引用来源字段","投递版数据与分析工作簿派生摘要和未来人工复测","yes after run export","docs/06b/effect-monitor/","no","yes","optional sampling; disable in 06B design-only","报告写四格式、数据库/API 草案","yao-geo-tracking; crawler skills; original.geo_report_generator","adapt","06B 监测设计阶段","设计五平台监测口径、指标字典、月报模板和纠偏闭环","不得声称真实采样；当前只做设计，不运行平台采样"
"yao.geo_tracking","yao-geo-skills","dc10716","MIT","6","公司名、公开官网、安全公开页面、承接动作说明","公开网站和治理文档；不读 internal-review","yes","docs/06b/tracking-plan/","no","yes","optional web official-site lookup; use local public routes first","render_yao_geo_tracking.py 写 html/docx","yao-geo-effect-monitor","adopt","06B 第一波","直接采用其直接/间接归因框架，改为只读公开站点和文档化输出","需要把通用可观测比例改写为本项目边界说明，不能作为效果承诺"
"yao.deepseek_crawler","yao-geo-skills","dc10716","MIT","3;6","问题集、重复次数、目标实体、浏览器 profile","未来人工复测计划；不能直接读取 canonical 工作簿","no for current stage","独立 PoC runs/deepseek/","no","yes","yes: logged-in DeepSeek web UI via OpenCLI","写 raw JSON、logs、summary、Excel、HTML","yao-geo-effect-monitor; original.visibility_tester","defer","复测 PoC 阶段","后续在隔离 PoC 中评估重复采样概率报告","当前不适合；登录态、平台规则、原始回答隐私和概率解释风险高"
"yao.doubao_crawler","yao-geo-skills","dc10716","MIT","3;6","问题集、重复次数、web/mobile backend、Appium/AVD 或浏览器 profile","未来人工复测计划；不能直接读取 canonical 工作簿","no for current stage","独立 PoC runs/doubao/","no","yes","yes: Doubao web or Android Appium","写 raw JSON、logs、summary、Excel、HTML、截图/XML","yao-geo-effect-monitor; yao.deepseek_crawler","defer","复测 PoC 阶段","仅在低频、可见 UI、人工批准环境中验证","当前不适合；移动自动化、截图/XML 和账号风控风险更高"
"yao.chatgpt_crawler","yao-geo-skills","dc10716","MIT","3;6","问题集、重复次数、目标实体、OpenCLI profile、间隔设置","未来人工复测计划；不能直接读取 canonical 工作簿","no for current stage","独立 PoC runs/chatgpt/","no","yes","yes: logged-in ChatGPT web UI; optional OPENAI_API_KEY semantic review","写 raw JSON、logs、summary、Excel、HTML、semantic cache","yao-geo-effect-monitor; original.geo_content_optimizer","defer","复测 PoC 阶段","后续单独评估 ChatGPT AI Search 样本采集","当前不适合；会创建 ChatGPT 会话，引用 pill 可见性不稳定"
"yao.geo_title_optimizer","yao-geo-skills","dc10716","MIT","2;4","公开主题和安全事实卡","问题库和公开知识库 JSON","yes","docs/06c/title-lab/","no","yes","no","写四格式标题报告","yao-geo-intent-miner; yao-geo-page-blueprint","defer","内容审核后","用于标题候选和合规过滤","当前不生成文章或标题资产"
"yao.geo_explainer_builder","yao-geo-skills","dc10716","MIT","4","安全事实卡、来源包、目标问题","公开知识库 JSON 和已审核来源","yes","docs/06c/explainer-briefs/","no","yes","yes if source research enabled","写完整文章和四格式报告","yao-geo-content-refiner; yao-geo-article-friendly","defer","文章发布审核后","仅作为未来文章 brief 模板","当前禁止生成文章"
"yao.geo_comparison_builder","yao-geo-skills","dc10716","MIT","2;4","竞品、对比维度、来源包","公开来源和审核后的竞品表","partial","docs/06c/comparison-briefs/","no","yes","yes if source verification enabled","写对比文章/页面报告","yao-geo-ranking-article-builder","defer","竞品证据治理后","未来生成对比页 brief，不生成正文","竞品事实和比较口径需人工审核"
"yao.geo_ranking_article_builder","yao-geo-skills","dc10716","MIT","4","选题 JSON、竞品库、可信来源","审核后的选题和来源包","partial","docs/06c/ranking-briefs/","no","yes","yes if source audit enabled","写榜单文章和四格式交付","yao-geo-comparison-builder; yao-geo-explainer-builder","reject","当前项目阶段","不接入当前作品集","榜单评测不符合当前非官方作品集边界，容易产生推荐/排名风险"
"yao.geo_article_friendly","yao-geo-skills","dc10716","MIT","4","已有文章和来源","审核后的公开文章摘录","yes after review","docs/06c/article-friendly/","no","yes","no","写改造草稿和评分","yao-geo-content-refiner","defer","完整文章人工审核后","轻量文章改造时再比较是否替代 content-refiner","当前完整样稿 blocked"
"yao.geo_execution_roadmap","yao-geo-skills","dc10716","MIT","6","诊断结论、机会地图、资源约束","90 天策略工作簿公开摘要和治理文档","yes","docs/06c/execution-roadmap/","no","yes","no","写 30/60/90 路线图四格式报告","yao-geo-panorama-audit; existing strategy workbook","defer","06B 输出稳定后","用于把评估结果转为下一阶段路线图","当前已有 90 天策略且工作簿 blocked，避免重复"
"yao.geoflow_cli","yao-geo-skills","dc10716","MIT","4;5;6","GEOFlow 实例、API token、后台会话","GEOFlow 数据库和后台内容","no","不适用当前仓库","no","yes","yes: GEOFlow API/admin","会操作任务、素材、文章、分发","GEOFlow platform","defer","独立 GEOFlow PoC 后","只在有隔离 GEOFlow 实例时使用","当前不部署 GEOFlow，因此不可使用"
"yao.geoflow_template","yao-geo-skills","dc10716","MIT","5","历史 PHP 模板包","旧 GEOFlow 模板契约","no","不适用当前仓库","no","yes","yes for reference-site review","生成 legacy contract note","yao-geoflow-design","reject","当前项目","不接入当前 Next.js 静态作品集","面向旧 PHP 模板，不适配当前技术栈"
"yao.geoflow_design","yao-geo-skills","dc10716","MIT","5","GEOFlow Blade 主题、参考站、channel package","GEOFlow 前端主题目录","no","独立 PoC docs/design/","no","yes","yes if reference mapping enabled","写 theme discovery 和 preview plan","GEOFlow platform","defer","GEOFlow PoC 后","仅用于 GEOFlow 主题 PoC，不用于当前网站","当前项目不得修改 app/public"
"yao.meta_skill","yao-meta-skill","e15472e","MIT","6","稳定后的本项目 GEO 工作流、输入输出契约、边界规则","06B/06C 经验证流程和评估文档","yes","docs/06c/internal-skill-roadmap/","no","yes","optional GitHub benchmark; disable unless approved","脚本可写 skill package、reports、evals","yao-geo-skills repository structure","defer","06C 或 07","把已适配流程固化为内部 Skill，而不是现在直接改业务内容","工具本身会生成/修改 Skill 文件，06A 不使用"
"geoflow.platform","GEOFlow","67abfd8","Apache-2.0 with NOTICE","4;5;6","知识库、标题库、关键词库、图片、提示词、模型、任务、分发渠道","GEOFlow 自有 PostgreSQL/pgvector 数据库；不得接入当前 canonical","no","独立基础设施和独立 repo","no for current site","yes","yes: model APIs, embeddings, WordPress/HTTP distribution, update checks","数据库、storage、队列、远端站点包和分发写入","yao-geoflow-cli; yao-geoflow-design; current static website CMS gap","defer","独立 PoC 决策后","当前不部署；未来以公开/合成数据验证内容工程闭环","完整应用引入数据库、Redis、队列、后台、API token、自动发布和分发，超出当前静态作品集阶段"
