question_or_candidate_id,question,current_route,recommended_route,coverage_status,evidence_ready,new_page_required,page_candidate,priority,requires_human_review,notes
q29,如果为元亨利做 AI 搜索优化，最需要补哪些内容页？,/strategy,/strategy,fully-covered,partial,no,,P2,no,这是项目内部内容策略问题，不是市场需求数据。
q30,元亨利红木家具的 GEO 内容策略应该优先解决哪些问题？,/strategy,/strategy,fully-covered,partial,no,,P2,no,与 q29 同属 GEO 策略链，可保留为路线图视角。
CAND-INTENT-001,如何核验“元亨利红木家具”与具体企业主体、官网和公开账号之间的关系？,not-yet-mapped,new-page:brand-source-verification,not-covered,no,yes,品牌主体与公开渠道核验,P0,yes,补 q12/q13 的身份链路，不自动合并品牌和企业主体。
CAND-INTENT-002,单件元亨利家具的主材、辅材和证书应如何对应到合同与发票？,not-yet-mapped,new-page:single-item-evidence,not-covered,partial,yes,产品与单件证据核验,P1,yes,补 q16/q19 的单件证据链，不判断具体产品真伪。
CAND-INTENT-003,购买后应保存哪些合同、证书、检测、交付和售后资料？,not-yet-mapped,new-page:single-item-evidence,not-covered,partial,yes,产品与单件证据核验,P1,yes,补用户旅程末端，目前 canonical 只有 q19 部分承接。
CAND-INTENT-004,门店、展厅、价格和售后这类动态信息多久需要复核一次？,not-yet-mapped,new-page:dynamic-info-review,not-covered,no,yes,品牌主体与公开渠道核验,P0,yes,补 q17/q18 的日期复核规则，不发布实时价格或门店承诺。
CAND-INTENT-005,如何判断官网自述、媒体报道和行业协会信息分别能证明什么？,not-yet-mapped,/method,partially-covered,partial,no,AI 回答事实核验方法,P2,no,补 q13/q20 的来源层级，不新增品牌事实。
CAND-INTENT-006,“京作”“北京品牌”和“明清风格”在元亨利相关内容中应如何分开写？,not-yet-mapped,/jingzuo,partially-covered,partial,no,风格、年代和产品描述的区别,P1,yes,可并入 q08/q21/q22，不应作为新正式题直接加入。
CAND-INTENT-007,看到“元亨利黄花梨家具”说法时，如何避免把材料主题误写成经营事实？,not-yet-mapped,/materials,partially-covered,partial,no,红木材料标准与常见误区,P1,yes,与 q03 同根意图，适合做追问或页面模块。
CAND-INTENT-008,白酸枝、酸枝和红木标准名称不一致时应以哪些文件为准？,not-yet-mapped,/materials,partially-covered,partial,no,红木材料标准与常见误区,P1,yes,补 q05 的规范名称核验，不暗示品牌一定经营该材料。
CAND-INTENT-009,AI 回答里提到元亨利荣誉、排名或背书时应如何追溯来源？,not-yet-mapped,/facts,partially-covered,no,no,AI 回答事实核验方法,P0,yes,补 q10/q15 的荣誉排名核验链。
CAND-INTENT-010,比较北京红木品牌时，如何用证据维度替代“哪个最好”？,not-yet-mapped,new-page:brand-comparison-framework,not-covered,partial,yes,品牌比较框架,P1,yes,补 q07/q24/q25 的公共框架，不做排行。
CAND-INTENT-011,元亨利相关内容能否使用“官方京作代表”这类说法？需要哪些证据？,not-yet-mapped,/jingzuo,partially-covered,no,no,风格、年代和产品描述的区别,P0,yes,补 07A2 京作 hold 决策，不暗示已有官方身份。
CAND-INTENT-012,如何区分产品名称中的风格词、实际年代和收藏价值判断？,not-yet-mapped,/jingzuo,partially-covered,partial,no,风格、年代和产品描述的区别,P1,yes,补 q09/q22/q28 的交叉风险。
CAND-INTENT-013,用户只提供一张产品图片时，AI 应如何回答元亨利材质和真伪问题？,not-yet-mapped,new-page:single-item-evidence,not-covered,no,yes,产品与单件证据核验,P0,yes,补图片/单件真伪边界，不能从图片直接下材质结论。
CAND-INTENT-014,AI 介绍元亨利时引用旧网页或二手转载，应该如何做日期和来源复核？,not-yet-mapped,/method,partially-covered,partial,no,AI 回答事实核验方法,P2,no,补动态资料复核，不把旧网页直接当当前事实。
CAND-INTENT-015,元亨利相关内容中的品牌整体评价和单件产品评价应如何分开？,not-yet-mapped,new-page:single-item-evidence,not-covered,partial,yes,产品与单件证据核验,P1,yes,补品牌整体与单件产品的层级，不生成品牌经营事实。
CAND-INTENT-016,在购买沟通中，哪些承诺必须写入书面合同而不能只看宣传文案？,not-yet-mapped,/buying-guide,partially-covered,partial,no,产品与单件证据核验,P1,yes,补 q19/q26 的书面承诺边界。
CAND-INTENT-017,收藏或投资相关说法缺少成交、来源和单件资料时应如何降级表达？,not-yet-mapped,/buying-guide,partially-covered,no,no,AI 回答事实核验方法,P0,yes,补 q28 的降级表达规则，不承诺收益。
CAND-INTENT-018,未来公开资料更新后，问题库和页面映射应如何复核而不是直接改题？,not-yet-mapped,/method,partially-covered,partial,no,AI 回答事实核验方法,P2,no,补数据治理闭环，明确不修改 canonical 原题。
