entity_id,canonical_name,display_name,entity_type,aliases,description,evidence_ids,evidence_status,confidence,publication_safety,ambiguity_risk,recommended_usage,notes
intent:q01,元亨利是什么品牌,元亨利是什么品牌,QuestionIntent,MAP-Q-01,主体与红木家具语境可直接回答,EV-001,snapshot-supported,medium,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q03,黄花梨关系,黄花梨关系,QuestionIntent,MAP-Q-03,说明材质语境和单件核验边界,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q04,紫檀理解,紫檀理解,QuestionIntent,MAP-Q-04,说明材质、工艺和证据边界,EV-007,snapshot-supported,medium,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q05,白酸枝关联,白酸枝关联,QuestionIntent,MAP-Q-05,避免把材质泛化为品牌全部产品,EV-003,snapshot-supported,medium,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q06,购买评估,购买评估,QuestionIntent,MAP-Q-06,合同、证书、售后、渠道核验路径,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q07,北京品牌对比,北京品牌对比,QuestionIntent,MAP-Q-07,使用中性维度替代排名,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q09,明式/清式意义,明式/清式意义,QuestionIntent,MAP-Q-09,风格语义与品牌事实分开,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q10,AI误判风险,AI误判风险,QuestionIntent,MAP-Q-10,覆盖同名、人物、荣誉和价格风险,EV-005,snapshot-supported,medium,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q11,同名主体区分,同名主体区分,QuestionIntent,MAP-Q-11,区分家具、珠宝、钟表等主体,EV-006,snapshot-supported,medium,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q12,公司主体表述,公司主体表述,QuestionIntent,MAP-Q-12,官网主体名称并提示工商核验,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q13,官网和公开来源,官网和公开来源,QuestionIntent,MAP-Q-13,来源层级和核验入口,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q14,成立时间/人物,成立时间/人物,QuestionIntent,MAP-Q-14,人物和时间不写成无来源强事实,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q16,材质证书,材质证书,QuestionIntent,MAP-Q-16,单件材质证据路径,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q17,价格,价格,QuestionIntent,MAP-Q-17,不编造价格区间,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q18,门店/展厅/渠道,门店/展厅/渠道,QuestionIntent,MAP-Q-18,给官方核验路径，不断言实时状态,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q19,合同/发票/售后,合同/发票/售后,QuestionIntent,MAP-Q-19,可直接作为决策清单,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q20,可信渠道,可信渠道,QuestionIntent,MAP-Q-20,建立来源等级和写作规则,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q22,明式/清式/产品事实,明式/清式/产品事实,QuestionIntent,MAP-Q-22,风格知识与品牌产品事实分开,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q23,榫卯/手工雕刻,榫卯/手工雕刻,QuestionIntent,MAP-Q-23,行业工艺与品牌事实分开,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q24,北京品牌中性对比,北京品牌中性对比,QuestionIntent,MAP-Q-24,使用证据维度替代榜单,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q26,购买避坑,购买避坑,QuestionIntent,MAP-Q-26,覆盖高客单价购买风险,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q27,空间搭配,空间搭配,QuestionIntent,MAP-Q-27,给出原则，不冒充品牌产品事实,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q28,收藏/投资价值,收藏/投资价值,QuestionIntent,MAP-Q-28,明确不承诺保值增值,EV-012,snapshot-supported,medium,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q29,需要补哪些内容页,需要补哪些内容页,QuestionIntent,MAP-Q-29,五页与FAQ已成体系,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:q30,GEO内容策略,GEO内容策略,QuestionIntent,MAP-Q-30,形成事实核验优先策略,,evidence-gap,low,review-required,medium,只作为用户问题意图和内容覆盖线索，不作为品牌事实来源。,重复 AI 回答或问题覆盖不确认品牌事实。
intent:faq-01,元亨利是什么品牌？,元亨利是什么品牌？,QuestionIntent,MAP-F-01,不从字号直接推导公司关系、人物和历史。,,evidence-gap,low,review-required,medium,只作为 FAQ 意图候选，不生成 FAQ JSON-LD。,FAQ 映射不替代事实主源或人工审核。
intent:faq-02,它是不是行业第一或顶级品牌？,它是不是行业第一或顶级品牌？,QuestionIntent,MAP-F-02,无第三方评选主体、时间和原页时不发布排名。,,evidence-gap,low,review-required,medium,只作为 FAQ 意图候选，不生成 FAQ JSON-LD。,FAQ 映射不替代事实主源或人工审核。
intent:faq-03,元亨利与黄花梨是什么关系？,元亨利与黄花梨是什么关系？,QuestionIntent,MAP-F-03,不判断单件真伪、等级、价格或保值。,,evidence-gap,low,review-required,medium,只作为 FAQ 意图候选，不生成 FAQ JSON-LD。,FAQ 映射不替代事实主源或人工审核。
intent:faq-04,紫檀家具怎么理解？,紫檀家具怎么理解？,QuestionIntent,MAP-F-04,不直接断言树种、产地、稀缺性和收藏价值。,,evidence-gap,low,review-required,medium,只作为 FAQ 意图候选，不生成 FAQ JSON-LD。,FAQ 映射不替代事实主源或人工审核。
intent:faq-05,白酸枝等于某个固定树种吗？,白酸枝等于某个固定树种吗？,QuestionIntent,MAP-F-05,不把俗称直接绑定到品牌全部产品。,,evidence-gap,low,review-required,medium,只作为 FAQ 意图候选，不生成 FAQ JSON-LD。,FAQ 映射不替代事实主源或人工审核。
intent:faq-06,怎么判断一件红木家具值不值得买？,怎么判断一件红木家具值不值得买？,QuestionIntent,MAP-F-06,不替用户做确定购买建议。,,evidence-gap,low,review-required,medium,只作为 FAQ 意图候选，不生成 FAQ JSON-LD。,FAQ 映射不替代事实主源或人工审核。
intent:faq-07,可以直接做北京红木品牌排名吗？,可以直接做北京红木品牌排名吗？,QuestionIntent,MAP-F-07,不输出第一、首选、唯一等结论。,,evidence-gap,low,review-required,medium,只作为 FAQ 意图候选，不生成 FAQ JSON-LD。,FAQ 映射不替代事实主源或人工审核。
intent:faq-09,明式、清式和品牌产品是什么关系？,明式、清式和品牌产品是什么关系？,QuestionIntent,MAP-F-09,不由商品名推导年代、馆藏或收藏价值。,,evidence-gap,low,review-required,medium,只作为 FAQ 意图候选，不生成 FAQ JSON-LD。,FAQ 映射不替代事实主源或人工审核。
intent:faq-11,元亨利和珠宝等同名主体是一家公司吗？,元亨利和珠宝等同名主体是一家公司吗？,QuestionIntent,MAP-F-11,不补造工商号码、股权或旗下关系。,,evidence-gap,low,review-required,medium,只作为 FAQ 意图候选，不生成 FAQ JSON-LD。,FAQ 映射不替代事实主源或人工审核。
intent:faq-12,官网信息一定可以当第三方证据吗？,官网信息一定可以当第三方证据吗？,QuestionIntent,MAP-F-12,不把品牌自述写成行业认证。,,evidence-gap,low,review-required,medium,只作为 FAQ 意图候选，不生成 FAQ JSON-LD。,FAQ 映射不替代事实主源或人工审核。
intent:faq-13,成立时间、创始人怎么写才稳妥？,成立时间、创始人怎么写才稳妥？,QuestionIntent,MAP-F-13,不从AI回答或二手转载反推。,,evidence-gap,low,review-required,medium,只作为 FAQ 意图候选，不生成 FAQ JSON-LD。,FAQ 映射不替代事实主源或人工审核。
intent:faq-14,门店、展厅和价格在哪里确认？,门店、展厅和价格在哪里确认？,QuestionIntent,MAP-F-14,历史AI回答不承担实时查询责任。,,evidence-gap,low,review-required,medium,只作为 FAQ 意图候选，不生成 FAQ JSON-LD。,FAQ 映射不替代事实主源或人工审核。
intent:faq-15,红木家具能保值或升值吗？,红木家具能保值或升值吗？,QuestionIntent,MAP-F-15,不承诺保值、升值或收益。,,evidence-gap,low,review-required,medium,只作为 FAQ 意图候选，不生成 FAQ JSON-LD。,FAQ 映射不替代事实主源或人工审核。
