"proposed_order","record_type","current_question_id","temporary_v2_id","question","content_cluster","primary_intent","user_stage","risk_level","evidence_requirements","target_route","approval_status","notes"
"24","canonical-existing","q24","","北京红木家具品牌对比时，AI 应该使用哪些中性维度？","品牌比较与选择","comparison","consideration","high","brand-source|association-source|media-source|multiple-source","new-page:brand-comparison-framework","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"25","canonical-existing","q25","","高端红木家具品牌有哪些？AI 是否会提到元亨利，回答时需要哪些证据边界？","品牌比较与选择","recommendation","consideration","high","association-source|media-source|multiple-source","new-page:brand-comparison-framework","canonical-baseline-retained","Existing canonical v1 question retained unchanged; evidence-first remains."
"26","canonical-existing","q26","","第一次购买高端红木家具要避哪些坑？元亨利相关信息应如何核验？","购买与核验","purchase-evaluation","decision","high","government-source|brand-source|product-level-evidence|multiple-source","/buying-guide","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"27","canonical-existing","q27","","中式空间搭配时，用户应该如何理解红木家具风格、材质和品牌选择？","京作、明式与清式","recommendation","consideration","medium","expert-source|product-level-evidence|no-brand-claim-required","/jingzuo","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"28","canonical-existing","q28","","元亨利红木家具是否具有收藏或投资价值？AI 应该如何谨慎回答？","风险、来源与信息边界","risk-boundary","decision","high","product-level-evidence|media-source|industry-standard|multiple-source","/buying-guide","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"29","canonical-existing","q29","","如果为元亨利做 AI 搜索优化，最需要补哪些内容页？","风险、来源与信息边界","process-how-to","research","medium","multiple-source|no-brand-claim-required","/strategy","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"30","canonical-existing","q30","","元亨利红木家具的 GEO 内容策略应该优先解决哪些问题？","风险、来源与信息边界","process-how-to","research","medium","multiple-source|no-brand-claim-required","/strategy","canonical-baseline-retained","Existing canonical v1 question retained unchanged."
"31","candidate-addition","","V2-CAND-001","单件元亨利家具的主材、辅材和证书应如何对应到合同与发票？","购买与核验","process-how-to","decision","high","product-level-evidence|industry-standard","new-page:single-item-evidence","provisionally-approved","Temporary candidate only; final v2 ID requires human approval."
"32","candidate-addition","","V2-CAND-002","购买后应保存哪些合同、证书、检测、交付和售后资料？","购买与核验","process-how-to","post-decision","high","product-level-evidence","new-page:single-item-evidence","provisionally-approved","Temporary candidate only; final v2 ID requires human approval."
"33","candidate-addition","","V2-CAND-003","如何判断官网自述、媒体报道和行业协会信息分别能证明什么？","风险、来源与信息边界","source-verification","research","medium","brand-source|media-source|association-source|multiple-source","/method","provisionally-approved","Temporary candidate only; final v2 ID requires human approval."
"34","candidate-addition","","V2-CAND-004","白酸枝、酸枝和红木标准名称不一致时应以哪些文件为准？","材质与产品边界","material-understanding","consideration","high","industry-standard|product-level-evidence|expert-source","/materials","provisionally-approved","Temporary candidate only; final v2 ID requires human approval."
"35","candidate-addition","","V2-CAND-005","比较北京红木品牌时，如何用证据维度替代“哪个最好”？","品牌比较与选择","comparison","consideration","high","association-source|media-source|multiple-source","new-page:brand-comparison-framework","provisionally-approved","Temporary candidate only; final v2 ID requires human approval."
"36","candidate-addition","","V2-CAND-006","如何区分产品名称中的风格词、实际年代和收藏价值判断？","京作、明式与清式","craft-style-understanding","research","high","expert-source|product-level-evidence|media-source","/jingzuo","provisionally-approved","Temporary candidate only; final v2 ID requires human approval."
"37","candidate-addition","","V2-CAND-007","AI 介绍元亨利时引用旧网页或二手转载，应该如何做日期和来源复核？","风险、来源与信息边界","source-verification","research","medium","brand-source|media-source|multiple-source","/method","provisionally-approved","Temporary candidate only; final v2 ID requires human approval."
"38","candidate-addition","","V2-CAND-008","元亨利相关内容中的品牌整体评价和单件产品评价应如何分开？","风险、来源与信息边界","fact-verification","consideration","high","brand-source|product-level-evidence|multiple-source","new-page:single-item-evidence","provisionally-approved","Temporary candidate only; final v2 ID requires human approval."
"39","candidate-addition","","V2-CAND-009","在购买沟通中，哪些承诺必须写入书面合同而不能只看宣传文案？","购买与核验","process-how-to","decision","high","product-level-evidence|brand-source","/buying-guide","provisionally-approved","Temporary candidate only; final v2 ID requires human approval."
