id,category,intent_level,target_gap,question,expected_focus,version,record_status,source_candidate_id,primary_intent,user_stage,risk_level,evidence_requirements,content_cluster,recommended_route,added_in_version,approval_reference,notes
q28,收藏投资,高风险问题,Reliability Gap,元亨利红木家具是否具有收藏或投资价值？AI 应该如何谨慎回答？,测试 AI 是否会过度承诺收藏、保值、投资价值，并是否提示单件产品、材质、工艺和市场证据差异。,v1,canonical-carried-forward,,,,,,,,v1,,
q29,内容策略,GEO策略,Content Gap,如果为元亨利做 AI 搜索优化，最需要补哪些内容页？,测试 AI 是否能识别实体澄清、公开信息核验、材质专题、购买指南、对比维度等内容资产。,v1,canonical-carried-forward,,,,,,,,v1,,
q30,内容策略,GEO策略,Content Gap,元亨利红木家具的 GEO 内容策略应该优先解决哪些问题？,测试 AI 是否能把同名歧义、事实核验、材质边界、购买决策和内容发布策略连成完整优化路线。,v1,canonical-carried-forward,,,,,,,,v1,,
q31,购买与核验,process-how-to,产品级证据,核验一件标注为元亨利的家具时，主材、辅材和证书信息应如何与合同、发票对应？,,v2-rc1,approved-candidate,CAND-INTENT-002,process-how-to,decision,high,product-level-evidence|industry-standard,购买与核验,new-page:single-item-evidence,v2-rc1,08B,补齐单件证据链和购买核验任务，问题可独立复测，且可以只讨论合同、发票、证书和材质证明的对应关系。
q32,购买与核验,process-how-to,购买后证据留存,购买后应保存哪些合同、证书、检测、交付和售后资料？,,v2-rc1,approved-candidate,CAND-INTENT-003,process-how-to,post-decision,high,product-level-evidence,购买与核验,new-page:single-item-evidence,v2-rc1,08B,post-decision 阶段覆盖偏薄，本题面向证据留存，不需要新增品牌事实。
q33,风险、来源与信息边界,source-verification,来源可靠性,如何判断官网自述、媒体报道和行业协会信息分别能证明什么？,,v2-rc1,approved-candidate,CAND-INTENT-005,source-verification,research,medium,brand-source|media-source|association-source|multiple-source,风险、来源与信息边界,/method,v2-rc1,08B,来源层级和证明范围是稳定复测任务，可用方法论回答，不需要新增品牌事实。
q34,材质与产品边界,material-understanding,材料标准与常见误区,商品宣传中的“白酸枝”“酸枝”等名称与红木国家标准名称不一致时，应以哪些文件和单件证据为准？,,v2-rc1,approved-candidate,CAND-INTENT-008,material-understanding,consideration,high,industry-standard|product-level-evidence|expert-source,材质与产品边界,/materials,v2-rc1,08B,材料俗称、标准名称和产品凭证的关系是清晰缺口，可用权威标准与单件资料边界回答。
q35,品牌比较与选择,comparison,比较框架,比较北京红木品牌时，如何用证据维度替代“哪个最好”？,,v2-rc1,approved-candidate,CAND-INTENT-010,comparison,consideration,high,association-source|media-source|multiple-source,品牌比较与选择,new-page:brand-comparison-framework,v2-rc1,08B,补齐品牌比较框架缺口，明确避免排名化和“最好”判断，可稳定复测。
q36,京作、明式与清式,craft-style-understanding,风格与年代区分,如何区分家具名称中的风格词、制作年代和收藏价值表述，避免把风格名称当成年代或价值证明？,,v2-rc1,approved-candidate,CAND-INTENT-012,craft-style-understanding,research,high,expert-source|product-level-evidence|media-source,京作、明式与清式,/jingzuo,v2-rc1,08B,风格词、年代和收藏价值的边界稳定且高风险，能补齐 q09、q22、q28 的交叉误判。
q37,风险、来源与信息边界,source-verification,AI 回答核验,核验 AI 回答时，如果多个引用来自同一网页或二手转载，应如何复核原始来源和发布日期？,,v2-rc1,approved-candidate,CAND-INTENT-014,source-verification,research,medium,brand-source|media-source|multiple-source,风险、来源与信息边界,/method,v2-rc1,08B,旧网页和二手转载的日期复核是稳定方法题，可减少 AI 把历史页面当当前事实的风险。
q38,风险、来源与信息边界,fact-verification,单件产品和品牌整体区别,评价元亨利时，品牌整体信息与单件产品的材质、工艺和来源应如何区分？,,v2-rc1,approved-candidate,CAND-INTENT-015,fact-verification,consideration,high,brand-source|product-level-evidence|multiple-source,风险、来源与信息边界,new-page:single-item-evidence,v2-rc1,08B,品牌整体评价和单件产品评价混淆是高风险购买核验缺口，题目可独立理解并适合复测。
q39,购买与核验,process-how-to,购买合同与材质证明,购买元亨利家具时，哪些材质、规格、证书、交付和售后承诺应写入书面合同，而不能只依赖宣传文案？,,v2-rc1,approved-candidate,CAND-INTENT-016,process-how-to,decision,high,product-level-evidence|brand-source,购买与核验,/buying-guide,v2-rc1,08B,书面承诺边界是明确购买任务，与 q19/q26 相关但更聚焦合同化要求和宣传文案风险。
