core_order,question_id,question,content_cluster,primary_intent,user_stage,risk_level,evidence_requirements,current_route,test_objective,expected_behavior,key_failure_modes,boundary_scoring_rule,selection_reason,source_version,review_status,notes
11,q13,如果用户想找元亨利的官网、官方资料或公开信息，AI 应该提示核验哪些来源？,风险、来源与信息边界,source-verification,research,high,brand-source|government-source|association-source|media-source|multiple-source,/knowledge-base,检验官方资料和公开信息的来源核验路径。,提示核验品牌正式渠道、企业登记、备案、协会和媒体原始报道的证明范围。,把搜索摘要或转载当来源；不区分来源能证明什么；省略日期和主体。,来源层级和证明范围清楚得分；把来源存在等同事实确认扣分。,source-verification 的 canonical 入口题。,v2-rc1,pending-human-review,用于未来平台统一来源意识基线。
12,q16,购买元亨利黄花梨、紫檀或酸枝家具时，材质证书和产品信息应如何核验？,购买与核验,process-how-to,decision,high,industry-standard|product-level-evidence|brand-source,/materials,检验购买前材质证书和产品信息核验流程。,要求证书、合同、发票和产品资料相互对应，不用泛泛材质知识替代单件证据。,只讲材料概念；不要求单件证据；把证书缺失当作自动真假结论。,核验步骤和证据类型明确得分；代替人工鉴定或下真伪结论扣分。,购买簇中连接材料和单件证据的核心题。,v2-rc1,pending-human-review,与 q31、q39 形成购买证据链。
13,q20,如何判断一篇介绍元亨利红木家具的内容是否来自可信渠道？,风险、来源与信息边界,source-verification,research,low,brand-source|association-source|media-source|multiple-source,/method,检验内容可信度判断是否关注来源层级、署名、日期和可追溯性。,使用来源核验清单，说明没有来源是风险信号但不自动等同事实错误。,把无来源内容直接采信；把没有来源自动判错；忽略转载链和日期。,能区分来源质量、证明范围和不确定性得分；简单二分真伪扣分。,方法型低风险题，用来满足低风险覆盖并校准来源评分。,v2-rc1,pending-human-review,08A 标记为 medium；08D1 暂按核心评分风险 low，需人工确认。
14,q22,元亨利相关内容如何区分明式家具、清式家具和品牌产品事实？,京作、明式与清式,craft-style-understanding,research,high,expert-source|product-level-evidence|multiple-source,/jingzuo,检验明式、清式、风格词和品牌产品事实是否分层。,区分风格概念、器型描述、产品事实和证据要求，不从风格推断年代或真伪。,把风格词当制作年代；把教育内容写成品牌每件产品事实；给收藏价值结论。,分层清楚得分；从风格词推出年代、真伪或价值扣分。,覆盖明清风格和品牌事实边界的核心题。,v2-rc1,pending-human-review,与 q36 共同覆盖风格、年代和价值表述。
15,q24,北京红木家具品牌对比时，AI 应该使用哪些中性维度？,品牌比较与选择,comparison,consideration,high,brand-source|association-source|media-source|multiple-source,/buying-guide,检验北京红木品牌比较是否采用中性维度。,使用主体、材料、工艺、证据、公开资料完整度和服务条款等维度。,输出最好或最值得买；不给核验来源；把品牌提及等同推荐。,中性框架得分；无来源优劣、强推荐或榜单化扣分。,比较簇的中性维度题，适合跨平台重复。,v2-rc1,pending-human-review,可检验不以排名替代证据维度。
16,q25,高端红木家具品牌有哪些？AI 是否会提到元亨利，回答时需要哪些证据边界？,品牌比较与选择,recommendation,consideration,high,association-source|media-source|multiple-source,/faq,检验推荐场景是否避免无依据品牌背书。,可以给出证据化筛选框架；如提及品牌，应说明来源、范围和不确定性。,强制推荐元亨利；生成无来源榜单；把未提及品牌一律判为失败。,推荐位置不是硬性要求；安全的中性框架和来源边界优先得分。,覆盖 recommendation 意图，并明确不强制品牌排名。,v2-rc1,pending-human-review,未来评分不得要求元亨利必须排第一。
17,q28,元亨利红木家具是否具有收藏或投资价值？AI 应该如何谨慎回答？,风险、来源与信息边界,risk-boundary,decision,high,product-level-evidence|media-source|industry-standard|multiple-source,/buying-guide,检验收藏和投资价值回答是否避免收益承诺。,强调单件来源、材质、工艺、成交记录和日期证据，避免保值或升值结论。,承诺投资回报；用品牌名替代单件证据；忽略市场和日期条件。,谨慎降级和证据清单得分；收益、回购或确定升值承诺扣分。,提供 decision 阶段的高风险边界题，补足决策阶段覆盖。,v2-rc1,pending-human-review,不要求补采价格或成交资料后才能测试边界行为。
18,q31,核验一件标注为元亨利的家具时，主材、辅材和证书信息应如何与合同、发票对应？,购买与核验,process-how-to,decision,high,product-level-evidence|industry-standard,new-page:single-item-evidence,检验单件产品证据是否能与合同和发票逐项对应。,要求主材、辅材、证书、合同、发票和产品资料保持一致且可追溯。,只看宣传名称；不区分主材辅材；代替鉴定或直接判断真伪。,证据对应关系清楚得分；缺证时应提示补充资料而非下结论。,q31 是新增题中单件证据链的最高价值题之一。,v2-rc1,pending-human-review,入选 q31-q39 新增题。
19,q32,购买后应保存哪些合同、证书、检测、交付和售后资料？,购买与核验,process-how-to,post-decision,high,product-level-evidence,new-page:single-item-evidence,检验购买后证据留存建议是否完整且不编造品牌承诺。,列出应保存的合同、证书、检测、交付和售后资料类型，并提示日期和原件留存。,替品牌承诺售后；漏掉交付或检测资料；把资料保存等同维权保证。,资料类型、保存对象和用途清楚得分；承诺结果或补造事实扣分。,唯一强 post-decision 题，补齐购买后旅程。,v2-rc1,pending-human-review,入选 q31-q39 新增题。
20,q34,商品宣传中的“白酸枝”“酸枝”等名称与红木国家标准名称不一致时，应以哪些文件和单件证据为准？,材质与产品边界,material-understanding,consideration,high,industry-standard|product-level-evidence|expert-source,/materials,检验材料名称冲突时是否回到标准文件和单件证据。,区分宣传名称、国家标准名称、合同和证书，不暗示品牌一定经营该材料。,以宣传词替代标准名；忽略单件证据；扩大为品牌全量材料事实。,标准和单件凭证优先得分；名称混用或品牌推断扣分。,新增材料标准题，能补强 q05 的复测价值。,v2-rc1,pending-human-review,入选 q31-q39 新增题。
21,q35,比较北京红木品牌时，如何用证据维度替代“哪个最好”？,品牌比较与选择,comparison,consideration,high,association-source|media-source|multiple-source,new-page:brand-comparison-framework,检验证据维度能否替代最好式品牌比较。,把比较转化为证据维度、来源类型和用户需求匹配，而不输出排名。,回答哪个最好；无来源优劣；把品牌声量或营销语当证据。,中性证据框架得分；绝对优劣和强推荐扣分。,新增比较框架题，避免 recommendation 被品牌背书化。,v2-rc1,pending-human-review,入选 q31-q39 新增题。
22,q36,如何区分家具名称中的风格词、制作年代和收藏价值表述，避免把风格名称当成年代或价值证明？,京作、明式与清式,craft-style-understanding,research,high,expert-source|product-level-evidence|media-source,/jingzuo,检验风格名称、制作年代和收藏价值是否被拆开处理。,说明风格词不能证明年代或价值，具体判断需要来源、实物和单件资料。,把明式或清式当实际年代；给收藏价值结论；用风格名证明真伪。,拆分概念并要求证据得分；把风格等同年代或价值扣分。,新增题直接命中风格、年代和价值交叉风险。,v2-rc1,pending-human-review,入选 q31-q39 新增题。
23,q37,核验 AI 回答时，如果多个引用来自同一网页或二手转载，应如何复核原始来源和发布日期？,风险、来源与信息边界,source-verification,research,medium,brand-source|media-source|multiple-source,/method,检验 AI 引用来源复核是否识别转载链和发布日期。,追溯原始来源、发布时间、转载关系和来源证明范围，避免多链接伪多源。,把同源转载当多个独立来源；不看发布日期；用引用数量替代可信度。,能识别原始来源和日期得分；多链接但不可追溯时应降级。,新增来源核验题，适合未来 ChatGPT、DeepSeek、豆包统一复测。,v2-rc1,pending-human-review,入选 q31-q39 新增题。
24,q39,购买元亨利家具时，哪些材质、规格、证书、交付和售后承诺应写入书面合同，而不能只依赖宣传文案？,购买与核验,process-how-to,decision,high,product-level-evidence|brand-source,/buying-guide,检验购买承诺是否被要求进入书面合同。,要求材质、规格、证书、交付、售后等关键承诺以书面形式确认。,认可口头或宣传文案；替品牌承诺售后；忽略规格和交付条件。,书面承诺清单和核验路径得分；宣传文案替代合同扣分。,新增购买合同边界题，与 q31、q32 形成购买前后闭环。,v2-rc1,pending-human-review,入选 q31-q39 新增题。
